message_id,conversation_id,message_text,full_conversation,primary_intent,confidence,competing_intent,rationale,secondary_issue,needs_review
1013269::cust0::1013269,1013269,Shoutout to [MENTION] for great customer svc on the phone and at kiosk. Sorry I can’t get my life together today.,"CUSTOMER: Shoutout to [MENTION] for great customer svc on the phone and at kiosk. Sorry I can’t get my life together today.
AGENT: [MENTION] We love when you have a great experience with our #AATeam, Whitney!",positive_feedback_praise,high,,"The customer is expressing gratitude and appreciation for the agent's service, using phrases like 'great customer svc' and 'We love when you have a great experience'. This indicates a positive sentiment and a desire to acknowledge the agent's good work.",,False
1013272::cust1::1013271,1013272,[MENTION] thanks,"CUSTOMER: [MENTION] can you tell me which terminal I depart PEK-ORD AA186 in 12 hours? Thanks
AGENT: [MENTION] You'll be departing from Terminal 2, David. See you soon!
CUSTOMER: [MENTION] thanks
AGENT: [MENTION] You bet.",other_acknowledgement_thanks,high,,"The customer's message 'thanks' is a bare expression of gratitude without any content or request, indicating a simple acknowledgement of the agent's previous response.",,False
1028505::cust0::1028505,1028505,At O’Hare and the line spans the entire terminal. Only one security gate open. How does this happen? [MENTION] [URL],"CUSTOMER: At O’Hare and the line spans the entire terminal. Only one security gate open. How does this happen? [MENTION] [URL]
AGENT: [MENTION] We're sorry for the wait, Eric. The TSA will have you on your way as soon as possible.
CUSTOMER: [MENTION] That didn’t really answer my question
AGENT: [MENTION] Our best bet is a lot people were traveling that day. In this case, TSA would be better suited to answer your question.",flight_status_inquiry,high,,"The customer is asking about the cause of the long line and the limited number of security gates open at O'Hare, which is a neutral inquiry about the airport's operational status.",None,False
1029067::cust1::1029065,1029067,[MENTION] Lol yea hopefully the return is much better because today was most certainly not a pleasant experience.,"CUSTOMER: The last 24hrs: mdw-&gt;atl-&gt;dfw-&gt;phx-&gt;slc! I’ve officially lost sense of time for today. I’m in a time continuum, thanks [MENTION] !! ✈️😫
AGENT: [MENTION] It was our pleasure to have you fly with us today. Time to chill for a while and we look forward to seeing you on the return!
CUSTOMER: [MENTION] Lol yea hopefully the return is much better because today was most certainly not a pleasant experience.
AGENT: [MENTION] We'll do our best to make sure your return trip goes well, Marlon. Thanks for hanging in there with us today.",general_dissatisfaction_venting,high,,"The customer expresses frustration and disappointment with their recent travel experience, using phrases like 'most certainly not a pleasant experience' and 'I've officially lost sense of time', indicating a broad dissatisfaction with their journey. This intent beats other options as it is the only one that captures the customer's overall sentiment and lack of specific issue.",,False
1032851::cust0::1032851,1032851,[MENTION] AA 2194 10/22/17 DFW-SJC. Thank you Nannette &amp; Laura. Outstanding service. They’re the reason why I re-qualify for EP each year,"CUSTOMER: [MENTION] AA 2194 10/22/17 DFW-SJC. Thank you Nannette &amp; Laura. Outstanding service. They’re the reason why I re-qualify for EP each year
AGENT: [MENTION] We'd love to thank Nannette and Laura for their outstanding service, Adam. Where did you get their help from? #AATeam
CUSTOMER: [MENTION] I was on their flight last night. AA2194 from DFW-SJC seat 4E
AGENT: [MENTION] Awesome! We'll be sure to pass along these fabulous kudos.",positive_feedback_praise,high,,"The customer is praising the service of Nannette and Laura, indicating that their outstanding service was the reason for their re-qualification for EP. The agent's response is a positive acknowledgment of the praise, further indicating that the primary intent is a positive feedback.",,False
104342::cust23::2959672,104342,"[MENTION] [MENTION] [MENTION] [MENTION] I called them yesterday to ask this very same question and was told that “flights can be cancelled as late as when you’re on the plane, so there’s no way of knowing. We will schedule you for the next available flight should yours be cancelled.” Super unhelpful.","AGENT: Yaasss. Your travels just got sweeter… like maple syrup sweet!😉 Starting 12/4, book YYC or YVR direct from ORD bc YNOT? [URL] [URL]
CUSTOMER: [MENTION] Trying out millennial speak? Forgot to write that it’s lit, fam
AGENT: [MENTION] TBH, you're on fleek fam...
CUSTOMER: [MENTION] I can’t even..... you had me at yaassss 😂😂😂🤯
AGENT: [MENTION] Perf, did we just become baes?
CUSTOMER: [MENTION] Bae ASF 🙏
AGENT: [MENTION] There you go again with... anotha one. #majorkeyalert ❤️
CUSTOMER: [MENTION] [MENTION] [URL]
CUSTOMER: [MENTION] Vancouver is one of my favorite places.
AGENT: [MENTION] We're ready to fly you there, Daniel! Hopefully we'll see you soon.
CUSTOMER: [MENTION] Will my Christmas flight have a pilot?
AGENT: [MENTION] We're working diligently to address the issue and fully expect to avoid cancellations during the holiday season.
CUSTOMER: [MENTION] That's good to hear -- work on filling the Jackson, MS, to NY routes first, via Charlotte [URL]
CUSTOMER: [MENTION] Is this t",flight_status_inquiry,high,,"The customer is asking about the status of their flight, specifically if their Christmas flight will have a pilot, which indicates a neutral inquiry about the flight's operational details.",,False
1049522::cust0::1049522,1049522,After 17 years and 2 million miles. I'm done with [MENTION] . Sold me tix twice for flights they knew were canceled.,"CUSTOMER: After 17 years and 2 million miles. I'm done with [MENTION] . Sold me tix twice for flights they knew were canceled.
AGENT: [MENTION] We do all we can to avoid cancellations, Rachel. Please work with our airport team for all rebooking options.
CUSTOMER: [MENTION] AAL1391 has been canceled all month. I was supposed to pick up supplies to bring 500mm of clean drinking water to VI. Now I can't. [MENTION] Tix for November 8th does nothing to assist those of us working on the ground in disasters. Disappointed that platinum for life is useless.",flight_cancellation,high,,"The customer explicitly states that their flight was canceled and expresses disappointment with the airline's handling, including the uselessness of their platinum membership. This intent is supported by the customer's use of phrases such as 'Sold me tix twice for flights they knew were canceled' and 'Tix for November 8th does nothing to assist those of us working on the ground in disasters'.",None,False
1050009::cust2::1050013,1050009,[MENTION] 25 mins now since economy opened and I am still standing in priority waiting to check in get it together as [MENTION] Now she’s left the counter [MENTION] Time to send her to retirement ! Not a good representing cr for American [MENTION] Really ! [MENTION] Even if priority is not set up surely the main checkin should take those customers first !,"CUSTOMER: [MENTION] another example poor service LgA checked in 20 plus economy before they open the priority desk ! Really ! Sort it out !
AGENT: [MENTION] We always want to have that priority line open and ready for you, Michael. Our apologies for any wait.
CUSTOMER: [MENTION] This is issane and she is rude just spent 5 mins disinfecting the desk while we wait in line [MENTION] Now 30 people checked in at economy and not one from 1st class
AGENT: [MENTION] We're so sorry. We know you're eager to get checked in so you can get through security and relax before your flight.
CUSTOMER: [MENTION] 25 mins now since economy opened and I am still standing in priority waiting to check in get it together as [MENTION] Now she’s left the counter [MENTION] Time to send her to retirement ! Not a good representing cr for American [MENTION] Really ! [MENTION] Even if priority is not set up surely the main checkin should take those customers first !
AGENT: [MENTION] We'll be sure to share this with ou",flight_delay,high,,"The customer is expressing frustration and disappointment with the slow check-in process, specifically with the priority line, and is using phrases like 'get it together' and 'not a good representing cr for American' to convey their dissatisfaction. The agent's response acknowledges the wait but doesn't address the underlying issue, which is the delay in the check-in process.",slow check-in process,False
1056893::cust0::1056893,1056893,I had never had baggage issues with any airline like yesterday with [MENTION],"CUSTOMER: I had never had baggage issues with any airline like yesterday with [MENTION]
AGENT: [MENTION] Smooth, easy travel days are always the plan. Sorry to hear your trip had a baggage issue yesterday.",baggage_delayed_lost,high,,"The customer mentions 'baggage issues' and 'never had baggage issues with any airline', which implies a concern about the delayed or lost bag. The agent's response acknowledges the issue and offers sympathy, which further supports the primary intent of tracing the missing bag.",,False
1059042::cust0::1059042,1059042,What gives [MENTION] ? Skip #1 on the list and people with less status upgraded? ... and open seats in first? [URL],"CUSTOMER: What gives [MENTION] ? Skip #1 on the list and people with less status upgraded? ... and open seats in first? [URL]
AGENT: [MENTION] Paul, we never want you to feel this way. Our gate team pages our customers to ensure they're in the boarding area.
CUSTOMER: [MENTION] BS, I was at the gate 1 hour early!
AGENT: [MENTION] Our apology for the error in DEN. We'll share the feedback with our team for further follow-up.
CUSTOMER: [MENTION] I fly twice a week on [MENTION] , I know how the upgrades work. The people I travel with have less status got upgraded days ago.
AGENT: [MENTION] We understand the frustration and will be sure to look more deeply into what happened. We appreciate you working with our team this morning.
CUSTOMER: [MENTION] [MENTION] , how does [MENTION] status compare to [MENTION] ? Executive Platinum apparently doesn’t mean any on [MENTION] !",flight_status_inquiry,high,,"The customer is asking about the status of their flight, specifically about the upgrade policy and how it affects their travel experience. The agent's responses focus on apologizing for the error and promising to investigate further, but do not address the customer's specific questions about the upgrade process.",None,False
